_TYPE_;_FREQ_;separation1;separation2;n;ncov;epv;truebeta1;truebeta2;method;BetaNA1;BetaNA2;noLowerCI1;NoUpperCI1;NoLowerCI2;NoUpperCI2;MUE1;MUE2
0;120001;;;250;5;5;1.3862943611;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;1.3862943611;0.6931471806;Exact;0;0;;;;;0.0025;0
0;70001;0.0003;0;250;5;5;2.0794415417;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;2.0794415417;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;99991;;;250;5;5;2.0794415417;0.6931471806;Exact;0;0;;;;;0.00110011;0
0;70001;0;0;250;5;5;2.7725887222;0.6931471806;ML;;;;;;;;
0;120001;;;250;5;5;2.7725887222;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;100001;;;250;5;5;2.7725887222;0.6931471806;Exact;0;0;;;;;0.0018;0
0;70001;0.7186;0;500;5;10;-2.772588722;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;-2.772588722;0.6931471806;LXPMLE;0.0497;0.0497;0.0497;0.0497;0.0497;0.0497;;
0;70001;0.5124;0;500;5;10;-2.079441542;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;-2.079441542;0.6931471806;LXPMLE;0.0348;0.0348;0.0348;0.0348;0.0348;0.0348;;
0;70001;0.2737;0;500;5;10;-1.386294361;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;-1.386294361;0.6931471806;LXPMLE;0.0179;0.0179;0.0179;0.0179;0.0179;0.0179;;
0;70001;0.0799;0;500;5;10;-0.693147181;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;-0.693147181;0.6931471806;LXPMLE;0.0061;0.0061;0.0061;0.0061;0.0061;0.0061;;
0;70001;0.0099;0;500;5;10;0;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;0;0.6931471806;LXPMLE;0.0008;0.0008;0.0008;0.0008;0.0008;0.0008;;
0;70001;0.0008;0;500;5;10;0.6931471806;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;0.6931471806;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;70001;0;0;500;5;10;1.3862943611;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;1.3862943611;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;70001;0;0;500;5;10;2.0794415417;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;2.0794415417;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;70001;0;0;500;5;10;2.7725887222;0.6931471806;ML;;;;;;;;
0;120001;;;500;5;10;2.7725887222;0.6931471806;LXPMLE;0;0;0;0;0;0;;
0;120001;0.8697;0;300;10;3;-2.772588722;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;-2.772588722;0.6931471806;LXPMLE;0.0014;0.0014;0.0019;0.0017;0.0017;0.0018;;
0;120001;0.7547;0;300;10;3;-2.079441542;0.6931471806;ML;;;;;;;;
0;220001;;;300;10;3;-2.079441542;0.6931471806;LXPMLE;0.0013;0.0013;0.002;0.0018;0.0019;0.0018;;
0;120001;0.5792;0;300;10;3;-1.386294361;0.6931471806;ML;;;;;;;;
