_TYPE_;_FREQ_;bias1;msen1;leftcov1;rightcov1;power1;bias2;msen2;leftcov2;rightcov2;power2;width1;width2;MSPEN;rmsen1;rmsen2;rmspen;n;ncov;epv;method;truebeta1;truebeta2
0;69602;2.2937543337;5.646659837;0.9882329277;0.9996982802;0.0195112139;-0.016847185;0.5534937056;0.9810922257;0.9805893593;0.1731871669;1E300;2.8051614761;;23.762701524;7.4397157581;;100;2;5;Mid-P;-2.772588722;0.6931471806
0;10000;-18.2624113;411.89890776;0.9509;1;0.0004;-0.019167478;11.179582722;0.9838;0.9923;0.1692;628780.76402;2.6538037803;0.3313850253;202.95292749;33.435883004;0.5756605122;100;2;5;ML;-2.079441542;0.6931471806
0;10000;1.3038063066;2.1572621969;0.9293;1;0.0126;-0.005290125;0.4716679942;0.9792;0.9757;0.1997;6.8290323051;2.5589690348;0.392426582;14.687621308;6.867808924;0.6264396076;100;2;5;Firth;-2.079441542;0.6931471806
0;10000;1.3038081242;2.1572668673;0.9293;1;0.0126;-0.005290288;0.4716685611;0.9792;0.9757;0.1997;6.8290315277;2.5589690924;0.3187133565;14.687637207;6.8678130516;0.5645470366;100;2;5;FLAC;-2.079441542;0.6931471806
0;10000;0.3934987951;0.7415437915;0.9792;1;0.044;-0.057857087;0.5882297113;0.9793;0.9699;0.1744;8.158514893;2.698251664;0.3122634325;8.6112936978;7.6696134931;0.5588053619;100;2;5;DatAug;-2.079441542;0.6931471806
0;60001;1.3299359513;7.3371643903;0.4668;0.4961;0.0194;0.0073724272;2.4263933565;0.4929;0.4858;0.1308;6.9223982737;2.4064323902;;27.08720065;15.576884658;;100;2;5;LXPMLE;-2.079441542;0.6931471806
0;69644;1.6554789242;3.1153622983;0.9909538647;0.9996984622;0.0030153784;-0.004411542;0.5537746574;0.9895466881;0.9906523269;0.1194089858;1E300;3.1939148903;;17.650388943;7.4416037077;;100;2;5;Exact;-2.079441542;0.6931471806
0;69644;1.6554789242;3.1153622983;0.9858277214;0.9996984622;0.014071766;-0.004411542;0.5537746574;0.980701578;0.9800985024;0.1691627299;1E300;2.8344631195;;17.650388943;7.4416037077;;100;2;5;Mid-P;-2.079441542;0.6931471806
0;10000;-15.58747562;364.81535442;0.9582;1;0.0014;-0.063810826;9.7212663273;0.9853;0.9893;0.1684;582568.81294;2.6538037803;0.3582935106;191.00140168;31.178945344;0.5985762362;100;2;5;ML;-1.386294361;0.6931471806
0;10000;0.7868795405;1.1826920689;0.944;1;0.0091;-0.016050414;0.4615123124;0.9812;0.9748;0.198;6.7941756148;2.5565591718;0.4242555579;10.875164683;6.7934697498;0.6513490292;100;2;5;Firth;-1.386294361;0.6931471806
0;10000;0.7868812009;1.1826944872;0.944;1;0.0091;-0.016050638;0.461512778;0.9812;0.9748;0.198;6.7941683792;2.5565591872;0.3414631057;10.875175802;6.7934731766;0.5843484455;100;2;5;FLAC;-1.386294361;0.6931471806
0;10000;-0.02148324;0.8983792175;0.9755;1;0.0363;-0.064695864;0.5736396801;0.981;0.969;0.1739;8.0610725319;2.6890610156;0.3339280512;9.4782868576;7.5739004491;0.5778650805;100;2;5;DatAug;-1.386294361;0.6931471806
0;60001;0.826548475;5.7379792724;0.5161;0.5375;0.0152;-0.005681007;2.2403685603;0.5332;0.5256;0.136;6.896971119;2.4058277854;;23.954079553;14.96786077;;100;2;5;LXPMLE;-1.386294361;0.6931471806
0;69728;1.0350898864;1.4712988574;0.9880534083;0.9992972593;0.0022086136;-0.015116977;0.5493692392;0.9900612388;0.988756149;0.119064351;1E300;3.1939029694;;12.129710868;7.4119446789;;100;2;5;Exact;-1.386294361;0.6931471806
0;69728;1.0350898864;1.4712988574;0.9790181709;0.9992972593;0.0101395442;-0.015116977;0.5493692392;0.9828330489;0.9795201285;0.1668507178;1E300;2.8344631195;;12.129710868;7.4119446789;;100;2;5;Mid-P;-1.386294361;0.6931471806
0;10000;-11.76172719;284.95151553;0.9651;1;0.0067;-0.012715143;11.37449389;0.9825;0.9909;0.1746;459043.52228;2.6624507284;0.3996870163;168.80506969;33.726093592;0.6322080483;100;2;5;ML;-0.693147181;0.6931471806
0;10000;0.3832616159;0.8088425947;0.9563;1;0.013;-0.000622437;0.5002809472;0.9755;0.9737;0.2063;6.6660111194;2.5716185153;0.4705669234;8.993567672;7.0730541292;0.6859788068;100;2;5;Firth;-0.693147181;0.6931471806
0;10000;0.3832630691;0.8088436111;0.9563;1;0.013;-0.000622783;0.5002815715;0.9755;0.9737;0.2063;6.666006235;2.5716188042;0.3719246344;8.9935733225;7.0730585427;0.6098562407;100;2;5;FLAC;-0.693147181;0.6931471806
0;10000;-0.285433863;1.2652757805;0.979;0.9999;0.0229;-0.038328318;0.608909846;0.9764;0.9707;0.1841;7.6971009636;2.7089654648;0.367344605;11.248447806;7.8032675593;0.6060896015;100;2;5;DatAug;-0.693147181;0.6931471806
