isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
28,x1,1,2.3966,0.3584,1.7064,3.1220,44.73,<.0001
28,x2,1,0.2976,0.3537,-0.3870,1.0098,0.71,0.4000
28,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
29,Intercept,1,-3.6152,0.4930,-4.7393,-2.7691,53.77,<.0001
29,x1,1,2.6587,0.5162,1.6817,3.7309,26.52,<.0001
29,x2,1,0.7863,0.5776,-0.2833,2.0235,1.85,0.1734
29,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
30,Intercept,1,-2.8101,0.3392,-3.5488,-2.2064,68.62,<.0001
30,x1,1,2.6620,0.4910,1.6773,3.6285,29.40,<.0001
30,x2,1,-0.4014,0.5106,-1.4558,0.5770,0.62,0.4317
30,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
31,Intercept,1,-3.1194,0.3775,-3.9449,-2.4504,68.27,<.0001
31,x1,1,2.4274,0.4352,1.5907,3.3138,31.11,<.0001
31,x2,1,0.3744,0.4461,-0.4766,1.2910,0.70,0.4013
31,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
32,Intercept,1,-4.0975,0.6495,-5.6625,-3.0274,39.80,<.0001
32,x1,1,3.6969,0.7838,2.2541,5.4242,22.24,<.0001
32,x2,1,-0.3901,0.7077,-1.7245,1.1095,0.30,0.5814
32,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
33,Intercept,1,-3.3132,0.4263,-4.2796,-2.5774,60.40,<.0001
33,x1,1,3.3091,0.7232,2.0162,4.8231,20.93,<.0001
33,x2,1,0.0276,0.7603,-1.4795,1.4788,0.00,0.9710
33,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
34,Intercept,1,-3.3191,0.4446,-4.3204,-2.5494,55.73,<.0001
34,x1,1,2.4705,0.6181,1.2255,3.6912,15.97,<.0001
34,x2,1,0.0472,0.6181,-1.1735,1.2921,0.01,0.9392
34,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
35,Intercept,1,-3.3344,0.4047,-4.2202,-2.6179,67.89,<.0001
35,x1,1,3.0691,0.4299,2.2677,3.9770,50.96,<.0001
35,x2,1,0.4906,0.3916,-0.2597,1.2921,1.57,0.2102
35,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
36,Intercept,1,-3.6394,0.4620,-4.6733,-2.8357,62.05,<.0001
36,x1,1,2.7501,0.4524,1.9015,3.6961,36.95,<.0001
36,x2,1,1.0526,0.5025,0.1286,2.1312,4.39,0.0362
36,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
37,Intercept,1,-3.4040,0.4337,-4.3830,-2.6527,61.61,<.0001
37,x1,1,3.5084,0.5204,2.5363,4.6125,45.46,<.0001
37,x2,1,-0.2929,0.4501,-1.1751,0.6096,0.42,0.5153
37,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
38,Intercept,1,-4.0693,0.5338,-5.2707,-3.1458,58.12,<.0001
38,x1,1,2.9542,0.5150,2.0360,4.1003,32.91,<.0001
38,x2,1,1.1756,0.4453,0.3589,2.1318,6.97,0.0083
38,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
39,Intercept,1,-3.6824,0.5393,-4.9475,-2.7754,46.62,<.0001
39,x1,1,3.0771,0.6967,1.8010,4.5415,19.51,<.0001
39,x2,1,0.3051,0.7580,-1.1268,1.8727,0.16,0.6873
