isim,Parameter,DF,Estimate,StdErr,LowerLRCL,UpperLRCL,ChiSq,ProbChiSq
47,x2,1,0.4485,0.5269,-0.6195,1.4918,0.72,0.3946
47,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
48,Intercept,1,-2.3770,0.3086,-3.0486,-1.8269,59.34,<.0001
48,x1,1,0.3075,0.5850,-1.0235,1.3400,0.28,0.5991
48,x2,1,0.6744,0.4061,-0.1140,1.4976,2.76,0.0968
48,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
49,Intercept,1,-2.5838,0.3240,-3.2932,-2.0091,63.60,<.0001
49,x1,1,-0.4695,0.6820,-2.0838,0.7045,0.47,0.4911
49,x2,1,1.0606,0.4297,0.2241,1.9321,6.09,0.0136
49,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
50,Intercept,1,-2.2785,0.3088,-2.9502,-1.7278,54.45,<.0001
50,x1,1,-0.6012,0.6684,-2.1958,0.5360,0.81,0.3684
50,x2,1,0.6632,0.4057,-0.1256,1.4850,2.67,0.1021
50,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
51,Intercept,1,-2.3680,0.2822,-2.9727,-1.8588,70.41,<.0001
51,x1,1,0.9922,0.5349,-0.1807,1.9653,3.44,0.0636
51,x2,1,0.0282,0.4577,-0.9195,0.9026,0.00,0.9508
51,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
52,Intercept,1,-2.4437,0.2945,-3.0821,-1.9169,68.84,<.0001
52,x1,1,-0.2921,0.6961,-1.9251,0.9219,0.18,0.6747
52,x2,1,0.6681,0.4306,-0.1931,1.5178,2.41,0.1208
52,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
53,Intercept,1,-2.7686,0.3642,-3.5782,-2.1302,57.78,<.0001
53,x1,1,-0.8645,0.8585,-3.0658,0.5412,1.01,0.3140
53,x2,1,1.1251,0.4718,0.2129,2.0946,5.69,0.0171
53,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
54,Intercept,1,-2.3459,0.2961,-2.9864,-1.8154,62.76,<.0001
54,x1,1,-0.2442,0.6780,-1.8474,0.9222,0.13,0.7187
54,x2,1,0.4005,0.4401,-0.4861,1.2638,0.83,0.3628
54,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
55,Intercept,1,-2.3169,0.2720,-2.9011,-1.8269,72.58,<.0001
55,x1,1,-0.8553,0.8521,-3.0409,0.5343,1.01,0.3155
55,x2,1,0.8545,0.4390,-0.0458,1.6999,3.79,0.0516
55,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
56,Intercept,1,-3.0297,0.3959,-3.9134,-2.3384,58.57,<.0001
56,x1,1,0.3381,0.6813,-1.2646,1.5205,0.25,0.6197
56,x2,1,0.9608,0.5035,-0.0146,1.9990,3.64,0.0563
56,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
57,Intercept,1,-2.4808,0.2975,-3.1239,-1.9474,69.53,<.0001
57,x1,1,0.7270,0.4961,-0.3414,1.6406,2.15,0.1428
57,x2,1,0.6758,0.4118,-0.1349,1.4978,2.69,0.1008
57,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
58,Intercept,1,-2.5080,0.2955,-3.1474,-1.9788,72.05,<.0001
58,x1,1,0.2051,0.6739,-1.3950,1.3587,0.09,0.7609
58,x2,1,0.7578,0.4186,-0.0737,1.5888,3.28,0.0703
58,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
59,Intercept,1,-2.2342,0.2824,-2.8433,-1.7269,62.58,<.0001
59,x1,1,-0.5961,0.8536,-2.7864,0.7965,0.49,0.4850
59,x2,1,0.4970,0.4323,-0.3784,1.3398,1.32,0.2502
59,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
60,Intercept,1,-2.5256,0.3077,-3.1958,-1.9774,67.37,<.0001
60,x1,1,-1.1064,1.4447,-5.9129,0.9582,0.59,0.4438
60,x2,1,0.4395,0.4956,-0.5861,1.3941,0.79,0.3752
60,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
61,Intercept,1,-2.6722,0.3239,-3.3808,-2.0973,68.08,<.0001
61,x1,1,-0.1815,0.8627,-2.3765,1.2427,0.04,0.8333
61,x2,1,0.6779,0.4902,-0.3177,1.6379,1.91,0.1667
61,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
62,Intercept,1,-3.0566,0.4249,-4.0206,-2.3235,51.75,<.0001
62,x1,1,-0.3445,0.8422,-2.5197,1.0169,0.17,0.6825
62,x2,1,1.4474,0.4966,0.5264,2.5141,8.49,0.0036
62,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
63,Intercept,1,-3.1844,0.4249,-4.1479,-2.4509,56.16,<.0001
63,x1,1,0.5114,0.8745,-1.6901,1.9789,0.34,0.5587
63,x2,1,0.7328,0.5782,-0.4107,1.9127,1.61,0.2050
63,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
64,Intercept,1,-2.5119,0.3284,-3.2285,-1.9276,58.51,<.0001
64,x1,1,0.5083,0.4539,-0.4617,1.3478,1.25,0.2628
64,x2,1,0.9547,0.4062,0.1780,1.7906,5.52,0.0188
64,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
65,Intercept,1,-2.5633,0.3265,-3.2761,-1.9831,61.65,<.0001
65,x1,1,0.1836,0.8440,-1.9833,1.5589,0.05,0.8278
65,x2,1,0.2578,0.4819,-0.7214,1.2029,0.29,0.5926
65,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
66,Intercept,1,-2.0506,0.2324,-2.5430,-1.6269,77.87,<.0001
66,x1,1,-1.0481,0.8509,-3.2341,0.3358,1.52,0.2181
66,x2,1,0.4329,0.4171,-0.4357,1.2208,1.08,0.2994
66,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
67,Intercept,1,-2.4329,0.2936,-3.0691,-1.9075,68.65,<.0001
67,x1,1,-1.6968,1.4303,-6.4663,0.3253,1.41,0.2355
67,x2,1,0.6653,0.4854,-0.3438,1.5942,1.88,0.1704
67,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
68,Intercept,1,-2.4367,0.2942,-3.0744,-1.9106,68.60,<.0001
68,x1,1,-1.1967,1.4430,-6.0125,0.8544,0.69,0.4069
68,x2,1,0.2999,0.4668,-0.6590,1.2022,0.41,0.5206
68,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
69,Intercept,1,-2.3748,0.2964,-3.0158,-1.8436,64.19,<.0001
69,x1,1,0.0291,0.5841,-1.2984,1.0604,0.00,0.9603
69,x2,1,0.6020,0.4120,-0.2118,1.4232,2.14,0.1439
69,Skala,0,1.0000,0.0000,1.0000,1.0000,_,_
70,Intercept,1,-2.8285,0.3649,-3.6383,-2.1882,60.10,<.0001
70,x1,1,-0.0098,0.6840,-1.6231,1.1730,0.00,0.9885
